,Bot Xtr,CD,CDp,CL,Chinge,Cm,Cpmin,Top Xtr,XCp,alpha,deflection
0,0.0582,0.11596,0.1123,-0.5789,0.0,0.0122,-1.9907,1.0,0.2653,-10.0,0.0
1,0.0605,0.10621,0.1026,-0.5635,0.0,0.0123,-1.9131,1.0,0.2663,-9.5,0.0
2,0.0644,0.09942,0.09583,-0.5479,0.0,0.011,-1.8348,1.0,0.2649,-9.0,0.0
3,0.0305,0.03003,0.02392,-0.5135,0.0,-0.0249,-3.3305,1.0,0.1967,-6.0,0.0
4,0.0275,0.02485,0.01785,-0.4886,0.0,-0.0206,-3.4231,1.0,0.2032,-5.5,0.0
5,0.0281,0.02037,0.01278,-0.4155,0.0,-0.024,-3.2879,0.9846,0.1874,-5.0,0.0
6,0.0378,0.01722,0.00945,-0.3374,0.0,-0.0285,-3.0185,0.9663,0.1606,-4.5,0.0
7,0.1305,0.01384,0.00655,-0.2784,0.0,-0.0291,-2.955,0.9421,0.1404,-4.0,0.0
8,0.3571,0.01269,0.00624,-0.2315,0.0,-0.0276,-2.5065,0.917,0.1259,-3.5,0.0
9,0.4834,0.01221,0.00609,-0.1895,0.0,-0.0241,-2.026,0.894,0.1177,-3.0,0.0
10,0.6113,0.01165,0.00593,-0.148,0.0,-0.0203,-1.573,0.8711,0.1076,-2.5,0.0
11,0.7674,0.0111,0.00583,-0.106,0.0,-0.0156,-1.1446,0.8505,0.0967,-2.0,0.0
12,0.9272,0.01095,0.00572,-0.0232,0.0,-0.0183,-0.6662,0.8323,-0.5592,-1.5,0.0
13,0.9983,0.01095,0.00536,0.0896,0.0,-0.0289,-0.4369,0.8111,0.5746,-1.0,0.0
14,1.0,0.01097,0.00507,0.1325,0.0,-0.0265,-0.4788,0.7883,0.4504,-0.5,0.0
15,1.0,0.01105,0.00493,0.1775,0.0,-0.0243,-0.5264,0.7641,0.3862,0.0,0.0
16,1.0,0.01111,0.00475,0.2229,0.0,-0.0218,-0.5794,0.7415,0.3462,0.5,0.0
17,1.0,0.01121,0.00469,0.2713,0.0,-0.02,-0.6406,0.7155,0.3216,1.0,0.0
18,1.0,0.01129,0.00461,0.3199,0.0,-0.018,-0.711,0.6898,0.3038,1.5,0.0
19,1.0,0.01136,0.00451,0.369,0.0,-0.016,-0.7914,0.6631,0.2906,2.0,0.0
20,1.0,0.01146,0.0045,0.4195,0.0,-0.0144,-0.8817,0.6328,0.2813,2.5,0.0
21,1.0,0.01161,0.00455,0.4706,0.0,-0.0131,-0.9831,0.5994,0.2743,3.0,0.0
22,1.0,0.01181,0.00469,0.522,0.0,-0.0118,-1.0982,0.563,0.2687,3.5,0.0
23,1.0,0.01211,0.00483,0.5733,0.0,-0.0105,-1.225,0.5257,0.2641,4.0,0.0
24,1.0,0.01251,0.00519,0.6249,0.0,-0.0096,-1.372,0.4842,0.2606,4.5,0.0
25,1.0,0.01302,0.00562,0.6762,0.0,-0.0086,-1.5366,0.4417,0.2576,5.0,0.0
26,1.0,0.01364,0.00619,0.7269,0.0,-0.0077,-1.7163,0.3969,0.255,5.5,0.0
27,1.0,0.01439,0.00687,0.7768,0.0,-0.0069,-1.9258,0.3492,0.2527,6.0,0.0
28,1.0,0.01531,0.00772,0.8254,0.0,-0.006,-2.1842,0.2995,0.2506,6.5,0.0
29,1.0,0.01649,0.00876,0.8723,0.0,-0.005,-2.4943,0.2498,0.2486,7.0,0.0
30,1.0,0.01793,0.01012,0.9173,0.0,-0.004,-2.8352,0.2048,0.2466,7.5,0.0
31,1.0,0.01955,0.01175,0.9609,0.0,-0.0028,-3.347,0.1675,0.2445,8.0,0.0
32,1.0,0.0214,0.01359,1.0023,0.0,-0.0014,-3.9178,0.1378,0.2424,8.5,0.0
33,1.0,0.02352,0.01576,1.0414,0.0,0.0002,-4.4954,0.1137,0.2402,9.0,0.0
34,1.0,0.02569,0.01806,1.078,0.0,0.0019,-5.077,0.0933,0.2379,9.5,0.0
35,1.0,0.02859,0.02097,1.1105,0.0,0.0039,-5.6365,0.0761,0.2355,10.0,0.0
36,1.0,0.03176,0.02437,1.1397,0.0,0.0062,-6.1569,0.0629,0.2329,10.5,0.0
37,1.0,0.0348,0.02765,1.1625,0.0,0.0087,-6.6465,0.0525,0.2301,11.0,0.0
38,1.0,0.03926,0.0327,1.176,0.0,0.012,-6.979,0.0463,0.2267,11.5,0.0
39,1.0,0.04374,0.03727,1.1821,0.0,0.0148,-7.3306,0.0406,0.2237,12.0,0.0
40,1.0,0.04986,0.04399,1.1681,0.0,0.0169,-7.4069,0.0385,0.221,12.5,0.0
41,1.0,0.05704,0.05169,1.147,0.0,0.0165,-7.419,0.0365,0.2202,13.0,0.0
42,1.0,0.06558,0.06064,1.1222,0.0,0.0137,-7.3961,0.0347,0.2216,13.5,0.0
43,1.0,0.07753,0.07301,1.0843,0.0,0.0076,-7.1849,0.0343,0.2259,14.0,0.0
44,1.0,0.16527,0.16108,0.8236,0.0,-0.0437,-3.0901,0.0606,0.2883,15.0,0.0
45,1.0,0.17995,0.17637,0.6685,0.0,-0.0446,-2.1487,0.0766,0.3042,16.5,0.0
46,1.0,0.18502,0.18141,0.6423,0.0,-0.0535,-1.7839,0.0733,0.321,17.0,0.0
47,1.0,0.1913,0.18773,0.6543,0.0,-0.056,-1.8534,0.066,0.3227,17.5,0.0
48,1.0,0.20036,0.19682,0.6679,0.0,-0.0581,-1.8834,0.063,0.3236,18.0,0.0
49,1.0,0.20627,0.20274,0.6648,0.0,-0.0638,-1.7154,0.0559,0.3324,18.5,0.0
50,1.0,0.21704,0.21359,0.6937,0.0,-0.0632,-1.8903,0.0513,0.3264,19.0,0.0
51,1.0,0.22159,0.21812,0.6809,0.0,-0.0707,-1.579,0.0481,0.3392,19.5,0.0
52,1.0,0.22871,0.22527,0.6908,0.0,-0.0739,-1.5405,0.043,0.3417,20.0,0.0
